battle at frame 4783
ambush map 0x232 routine 0x0
row map 0x232 routine 0x18c
grid map 0x232 routine 0x24
grid_tl map 0x232 routine 0x24
grid_tr map 0x232 routine 0x24
chargrid map 0x232 routine 0x2c
rhysgrid map 0x232 routine 0x54
rhys_tl map 0x232 routine 0x54
target map 0x232 routine 0x64
target_0R map 0x232 routine 0x64
target_1R map 0x232 routine 0x64
target_2L map 0x232 routine 0x64
target_3D map 0x232 routine 0x64
target_4U map 0x232 routine 0x64
target_back map 0x232 routine 0x24
itemlist map 0x232 routine 0x16c
item_target map 0x232 routine 0x18c
item_target_R map 0x232 routine 0x1e8
techlist map 0x232 routine 0x18c
tech_target map 0x232 routine 0x24
after map 0x0 routine 0xff20
